Date,SPY,QQQ,IWM,IEF,TLT
2020-12-04,341.9635009765625,295.2515869140625,175.6990203857422,103.08747863769531,130.14471435546875
2020-12-07,341.26080322265625,296.9234619140625,175.8670654296875,103.40715789794922,131.3187713623047
2020-12-08,342.25946044921875,297.9284362792969,178.12631225585938,103.51083374023438,131.93923950195312
2020-12-09,339.1897888183594,291.1830749511719,176.82864379882812,103.36396789550781,131.5032501220703
2020-12-10,339.07879638671875,292.3523864746094,178.53709411621094,103.59720611572266,132.6688232421875
2020-12-11,338.6811218261719,291.7049560546875,177.65953063964844,103.80459594726562,133.13845825195312
2020-12-14,337.16485595703125,293.8212890625,177.867431640625,103.74407196044922,132.7694091796875
2020-12-15,341.7231140136719,296.96209716796875,182.31570434570312,103.64043426513672,132.3249969482422
2020-12-16,342.25946044921875,298.5953369140625,181.66018676757812,103.55402374267578,131.9727325439453
2020-12-17,344.1732177734375,300.54736328125,183.82350158691406,103.47882080078125,131.62359619140625
2020-12-18,342.79913330078125,299.6390380859375,182.933837890625,103.39237213134766,131.22906494140625
2020-12-21,341.5733642578125,299.0785217285156,182.84019470214844,103.4615249633789,131.74949645996094
2020-12-22,340.9976806640625,299.8916320800781,184.91915893554688,103.63440704345703,132.42947387695312
2020-12-23,341.30419921875,298.3813171386719,186.49249267578125,103.41828918457031,131.5144500732422
2020-12-24,342.63189697265625,299.69805908203125,186.37075805664062,103.56526184082031,132.03494262695312
2020-12-28,345.575439453125,302.71868896484375,185.6777801513672,103.57389831542969,132.09359741210938
2020-12-29,344.91619873046875,302.9897766113281,182.0816192626953,103.55660247802734,131.92575073242188
2020-12-30,345.4082946777344,302.9993896484375,183.9358673095703,103.62578582763672,132.211181640625
2020-12-31,347.1632080078125,303.74493408203125,183.6080780029297,103.69491577148438,132.40426635742188
2021-01-04,342.4368896484375,299.45611572265625,181.21070861816406,103.72087860107422,132.24478149414062
2021-01-05,344.79541015625,301.9248352050781,184.0108184814453,103.47882080078125,131.26266479492188
2021-01-06,346.8567810058594,297.7423400878906,191.5402069091797,102.87367248535156,128.5680389404297
2021-01-07,352.0102844238281,304.94549560546875,194.94900512695312,102.51058197021484,127.43482971191406
2021-01-08,354.015869140625,308.8662414550781,194.5275421142578,102.21664428710938,127.02348327636719
2021-01-11,351.62957763671875,304.4033203125,194.35899353027344,102.0178451538086,126.81363677978516
2021-01-12,351.70379638671875,303.9191589355469,197.84274291992188,102.00054931640625,126.71292114257812
2021-01-13,352.65081787109375,305.9716796875,196.42861938476562,102.35498046875,128.13998413085938
2021-01-14,351.41583251953125,304.33544921875,200.35255432128906,102.12159729003906,126.93952941894531
2021-01-15,348.85321044921875,301.9248352050781,197.3651580810547,102.3981704711914,127.44322204589844
